id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
35261,Home  in  the heart of Thessaloniki,151631,Cathy,,Thessaloniki,40.63777,22.94934,Entire home/apt,24,1,43,2020-03-07,0.40,2,355
152991,Design space downtown Thessaloniki,735568,G,,Thessaloniki,40.64106,22.9424,Entire home/apt,42,3,263,2020-03-09,2.53,1,365
218831,Sea-life apartment,137588,Dimitrios,,Kalamaria,40.57187,22.95678,Entire home/apt,55,2,1,2020-02-02,0.17,1,364
264004,"7th floor sunny balcony Wi-Fi, Ex Thessalonica Lux",1385108,Kostas,,Thessaloniki,40.63516,22.9516,Entire home/apt,28,1,358,2020-03-03,3.45,1,359
483128,Stel's apt in Thessaloniki center!,2358521,Stelios,,Thessaloniki,40.63765,22.94979,Entire home/apt,25,1,311,2020-07-19,3.14,1,347
550239,Kripis Studio Thessaloniki No1,1193625,Olga,,Thessaloniki,40.64008,22.95598,Entire home/apt,45,1,5,2019-06-29,0.05,5,347
756569,Fully renovated studio near center!,3714248,Chrysothemis,,Thessaloniki,40.61254,22.97487,Entire home/apt,37,1,17,2017-05-29,0.20,1,324
758173,COZY PRIVATE  ROOM IN THE CITY CENTER!!,3993873,Titika,,Thessaloniki,40.62928,22.94956,Private room,19,1,133,2020-02-18,1.47,1,324
789070,"""Low COST Cozy Studio"" City Centre",4158269,Filiana,,Thessaloniki,40.63868,22.94991,Entire home/apt,25,20,0,,,4,269
789081,Traditional STUDIO City Centre Low Cost,4158269,Filiana,,Thessaloniki,40.64163,22.94781,Entire home/apt,35,20,20,2020-01-15,1.73,4,0
789092,Traditional APARTMENT #1 City Center,4158269,Filiana,,Thessaloniki,40.64314,22.94701,Entire home/apt,38,10,2,2018-08-31,0.08,4,179
798646,LUXURIOUS & STYLISH APARTMENT IN THESSALONIKI,2890501,Francy,,Pilea – Chortiatis,40.58489,23.035,Entire home/apt,95,4,6,2020-02-27,0.23,1,323
817373,Hermes - Cosy central apartment,4293278,Andreas,,Thessaloniki,40.63968,22.93879,Entire home/apt,27,1,194,2019-09-16,2.10,2,360
